debug,npm run test:node && npm run test:browser && npm run lint
emoji-regex,mocha
react-is,node ./scripts/jest/jest-cli.js
glob-parent,nyc mocha --async-only
kind-of,mocha
json-schema-traverse,npm run eslint && nyc npm run test-spec
eslint-visitor-keys,npm test --workspaces --if-present
js-yaml,npm run lint && mocha
argparse,npm run lint && nyc mocha
estraverse,npm run-script lint && npm run-script unit-test
fs-extra,npm run lint && npm run unit && npm run unit-esm
picomatch,npm run lint && npm run mocha
cross-spawn,jest --env node --coverage
punycode,mocha tests
iconv-lite,mocha --reporter spec --grep .
ws,nyc --reporter=lcov --reporter=text mocha --throw-deprecation test/*.test.js
is-number,mocha
webidl-conversions,mocha test/*.js
form-data,npm run tests-only
braces,mocha -r ./test/mocha-initialization.js
fill-range,npm run lint && npm run mocha
eslint-scope,npm test --workspaces --if-present
micromatch,mocha
jsesc,mocha tests
mime-db,mocha --reporter spec --check-leaks test/
to-regex-range,mocha
is-glob,mocha && node benchmark.js
typescript,hereby runtests-parallel --light=false
mime-types,mocha --reporter spec test/test.js
normalize-path,mocha
doctrine,nyc mocha
define-property,mocha
js-tokens,eslint . --report-unused-disable-directives && prettier --check . && npm run build && tsd && node benchmark.js && vitest run
sprintf-js,mocha test/*.js
extend-shallow,mocha
lodash,npm run test:main && npm run test:fp
is-arrayish,mocha --require coffeescript/register ./test/**/*.coffee
anymatch,nyc mocha
undici-types,npm run test:javascript && cross-env NODE_V8_COVERAGE=  npm run test:typescript
statuses,mocha --reporter spec --check-leaks --bail test/
fast-deep-equal,npm run build && npm run eslint && npm run test-ts && npm run test-cov
source-map-support,mocha
jsonfile,npm run lint && npm run unit
is-extglob,mocha
optionator,make test
http-errors,mocha --reporter spec
prelude-ls,make test
type-check,make test
levn,make test
node-fetch,mocha
depd,mocha --reporter spec --bail test/
async,npm run lint && npm run mocha-node-test
encodeurl,mocha --reporter spec --bail --check-leaks test/
esprima,npm run compile && npm run all-tests && npm run static-analysis && npm run dynamic-analysis
espree,npm test --workspaces --if-present
@babel/helper-module-imports,make test
regenerator-runtime,test/run.sh
istanbul-lib-instrument,"cross-env NODE_ENV=test nyc mocha --timeout 30000 packages/*/test{,/*}.js"
esutils,npm run-script lint && npm run-script unit-test
negotiator,mocha --reporter spec --check-leaks test/
eslint,node Makefile.js test
require-directory,mocha
flat-cache,pnpm -r --workspace-concurrency 1 test
bytes,mocha --check-leaks --reporter spec
file-entry-cache,pnpm -r --workspace-concurrency 1 test
setprototypeof,standard && mocha
isobject,mocha -r esm
is-extendable,mocha
fast-levenshtein,mocha
asynckit,istanbul cover --reporter=json tape -- 'test/test-*.js' | tap-spec
esrecurse,gulp travis
@eslint/eslintrc,mocha -R progress -c 'tests/lib/*.cjs' && c8 mocha -R progress -c 'tests/lib/**/*.js'
is-plain-object,npm run test_node && npm run build && npm run test_browser
esquery,nyc npm run mocha && npm run lint
tmp,npm run clean && istanbul cover ./node_modules/mocha/bin/_mocha --report none --print none --dir ./coverage/json -u exports -R test/*-test.js && istanbul report --root ./coverage/json html && istanbul report text-summary
on-finished,mocha --reporter spec --check-leaks test/
loader-utils,jest
follow-redirects,nyc mocha
error-ex,mocha --compilers coffee:coffee-script/register
merge-stream,istanbul cover test.js && istanbul check-cover --statements 100 --branches 100
bn.js,npm run lint && npm run unit
magic-string,vitest run
eventemitter3,c8 --reporter=lcov --reporter=text mocha test/test.js
lodash.merge,npm run test:main && npm run test:fp
raw-body,mocha --trace-deprecation --reporter spec --bail --check-leaks test/
finalhandler,mocha --reporter spec --check-leaks test/
gensync,jest
word-wrap,mocha
