repo,groundTruthNumberOfTransitiveDeps,webpacklocation,ourSolutionLocation,webpackTransitiveDeps,ourSolutionTransitiveDeps
glob-parent,313,output/glob-parent,dist/glob-parent,1,1
is-glob,121,output/is-glob,dist/is-glob,0,0
mime-types,315,output/mime-types,dist/mime-types,0,0
doctrine,,,,,
define-property,137,output/define-property,dist/define-property,4,0
jsonfile,286,output/jsonfile,dist/jsonfile,0,0
optionator,,,,,
http-errors,317,output/http-errors,dist/http-errors,0,0
type-check,,,,,
levn,,,,,
is-extendable,138,output/is-extendable,dist/is-extendable,1,1
esquery,370,output/esquery,dist/esquery,0,0
on-finished,309,output/on-finished,dist/on-finished,0,0
error-ex,340,output/error-ex,dist/error-ex,0,0
finalhandler,338,output/finalhandler,dist/finalhandler,1,0
content-disposition,,,,,
terser,,,,,
proxy-addr,324,output/proxy-addr,dist/proxy-addr,0,0
prop-types,464,output/prop-types,dist/prop-types,0,0
has-values,138,output/has-values,dist/has-values,0,0
has-value,137,output/has-value,dist/has-value,2,2
url-parse,379,output/url-parse,dist/url-parse,0,0
simple-swizzle,339,output/simple-swizzle,dist/simple-swizzle,0,0
compressible,,,,,
global-modules,,,,,
thenify,,,,,
mz,63,output/mz,dist/mz,0,0
clone-deep,57,output/clone-deep,dist/clone-deep,0,0
shallow-clone,187,output/shallow-clone,dist/shallow-clone,0,0
prettier-linter-helpers,136,output/prettier-linter-helpers,dist/prettier-linter-helpers,0,0
cors,279,output/cors,dist/cors,0,0
fd-slicer,,,,,
object.pick,137,output/object.pick,dist/object.pick,0,0
language-tags,176,output/language-tags,dist/language-tags,0,0
union-value,102,output/union-value,dist/union-value,2,2
object-copy,118,output/object-copy,dist/object-copy,5,5
static-extend,101,output/static-extend,dist/static-extend,8,8
memory-fs,,,,,
pinkie-promise,,,,,
hash.js,140,output/hash.js,dist/hash.js,0,0
pretty-error,,,,,
renderkid,,,,,
wbuf,25,output/wbuf,dist/wbuf,0,0
browserify-zlib,655,output/browserify-zlib,dist/browserify-zlib,0,0
hmac-drbg,36,output/hmac-drbg,dist/hmac-drbg,0,0
des.js,88,output/des.js,dist/des.js,0,0
dom-converter,,,,,
expand-tilde,104,output/expand-tilde,dist/expand-tilde,1,1
homedir-polyfill,121,output/homedir-polyfill,dist/homedir-polyfill,0,0
zip-stream,126,output/zip-stream,dist/zip-stream,0,0
crc32-stream,84,output/crc32-stream,dist/crc32-stream,0,0
one-time,166,output/one-time,dist/one-time,0,0
resolve-dir,146,output/resolve-dir,dist/resolve-dir,2,2
yargs-unparser,486,output/yargs-unparser,dist/yargs-unparser,0,0
bplist-parser,,,,,
for-own,120,output/for-own,dist/for-own,0,0
md5,183,output/md5,dist/md5,0,0
is-relative,140,output/is-relative,dist/is-relative,1,1
is-absolute,141,output/is-absolute,dist/is-absolute,2,2
is-unc-path,,,,,
redis-parser,,,,,
recursive-readdir,,,,,
path-root,103,output/path-root,dist/path-root,0,0
lazy-cache,111,output/lazy-cache,dist/lazy-cache,3,2
parse-filepath,110,output/parse-filepath,dist/parse-filepath,5,4
request-progress,122,output/request-progress,dist/request-progress,0,0
jest-junit,205,output/jest-junit,dist/jest-junit,1,1
postcss-initial,,,,,
unixify,122,output/unixify,dist/unixify,1,1
cookie-parser,339,output/cookie-parser,dist/cookie-parser,0,0
saslprep,501,output/saslprep,dist/saslprep,1,1
window-size,121,output/window-size,dist/window-size,10,10
cookies,,,,,
keygrip,202,output/keygrip,dist/keygrip,0,0
contains-path,122,output/contains-path,dist/contains-path,1,1
fined,238,output/fined,dist/fined,3,1
object.defaults,119,output/object.defaults,dist/object.defaults,1,1
is-color-stop,304,output/is-color-stop,dist/is-color-stop,0,0
gonzales-pe,487,output/gonzales-pe,dist/gonzales-pe,0,0
bufferutil,,,,,
make-iterator,138,output/make-iterator,dist/make-iterator,0,0
glob-base,77,output/glob-base,dist/glob-base,1,1
uid-safe,290,output/uid-safe,dist/uid-safe,0,0
fancy-log,231,output/fancy-log,dist/fancy-log,0,0
object.map,121,output/object.map,dist/object.map,2,2
object.omit,138,output/object.omit,dist/object.omit,2,2
find-babel-config,443,output/find-babel-config,dist/find-babel-config,0,0
utf-8-validate,,,,,
mquery,,,,,
xlsx,,,,,
json-to-pretty-yaml,497,output/json-to-pretty-yaml,dist/json-to-pretty-yaml,0,0
easy-table,,,,,
named-placeholders,,,,,
is-dotfile,194,output/is-dotfile,dist/is-dotfile,0,0
parse-glob,187,output/parse-glob,dist/parse-glob,1,1
plugin-error,225,output/plugin-error,dist/plugin-error,1,1
is-equal-shallow,78,output/is-equal-shallow,dist/is-equal-shallow,0,0
original,,,,,
detective-typescript,431,output/detective-typescript,dist/detective-typescript,0,0
detective-es6,,,,,
json2mq,21,output/json2mq,dist/json2mq,0,0
create-error-class,73,output/create-error-class,dist/create-error-class,0,0
detective-cjs,433,output/detective-cjs,dist/detective-cjs,0,0
to-through,,,,,
resolve-options,225,output/resolve-options,dist/resolve-options,0,0
ansi-gray,73,output/ansi-gray,dist/ansi-gray,0,0
bcrypt,,,,,
mixin-object,137,output/mixin-object,dist/mixin-object,2,2
optimize-css-assets-webpack-plugin,,,,,
ordered-read-streams,,,,,
sync-fetch,,,,,
to-absolute-glob,102,output/to-absolute-glob,dist/to-absolute-glob,4,4
glogg,225,output/glogg,dist/glogg,0,0
unique-stream,,,,,
align-text,137,output/align-text,dist/align-text,0,0
gulplog,226,output/gulplog,dist/gulplog,1,1
blob,,,,,
center-align,121,output/center-align,dist/center-align,2,2
right-align,82,output/right-align,dist/right-align,4,4
wkx,,,,,
chai-as-promised,,,,,
json-pointer,86,output/json-pointer,dist/json-pointer,0,0
has-glob,122,output/has-glob,dist/has-glob,1,1
hot-shots,,,,,
semver-greatest-satisfied-range,225,output/semver-greatest-satisfied-range,dist/semver-greatest-satisfied-range,0,0
each-props,230,output/each-props,dist/each-props,0,0
is2,113,output/is2,dist/is2,0,0
levenary,403,output/levenary,dist/levenary,0,0
airbnb-prop-types,463,,,0,
remove-bom-stream,,,,,
remove-bom-buffer,120,output/remove-bom-buffer,dist/remove-bom-buffer,0,0
dotenv-defaults,359,output/dotenv-defaults,dist/dotenv-defaults,0,0
rework,27,output/rework,dist/rework,0,0
vizion,172,output/vizion,dist/vizion,0,0
array-sort,166,output/array-sort,dist/array-sort,0,0
