repo,groundTruthLinesOfCode,webpackLinesOfCode,ourSolutionLinesOfCode
glob-parent,125,53,17
is-glob,11,0,7
mime-types,1,0,3
,,,
define-property,102,0,8
jsonfile,22,0,0
,,,
http-errors,0,51,79
,,,
,,,
is-extendable,18,8,10
esquery,650,323,170
on-finished,52,31,16
error-ex,8,3,6
finalhandler,815,122,33
,,,
,,,
proxy-addr,660,21,7
prop-types,484,94,25
has-values,97,86,11
has-value,120,72,37
url-parse,153,18,5
simple-swizzle,8,3,6
,,,
,,,
,,,
mz,234,30,1
clone-deep,195,223,35
shallow-clone,97,86,13
prettier-linter-helpers,549,154,74
cors,138,62,6
,,,
object.pick,4,3,3
language-tags,0,0,0
union-value,168,91,73
object-copy,160,29,30
static-extend,81,57,53
,,,
,,,
hash.js,37,6,3
,,,
,,,
wbuf,9,6,3
browserify-zlib,0,0,0
hmac-drbg,1329,33,21
des.js,0,29,19
,,,
expand-tilde,0,22,10
homedir-polyfill,25,17,15
zip-stream,6548,13,0
crc32-stream,5922,28,38
one-time,54,8,4
resolve-dir,0,5,6
,,,
,,,
for-own,8,3,1
md5,124,72,37
is-relative,8,5,4
is-absolute,28,12,15
,,,
,,,
,,,
path-root,4,3,4
lazy-cache,37,23,22
parse-filepath,54,17,16
request-progress,98,11,10
jest-junit,1975,248,138
,,,
unixify,11,5,9
cookie-parser,184,14,9
saslprep,131,39,20
window-size,30,20,18
,,,
keygrip,101,10,12
contains-path,73,39,36
fined,0,16,27
object.defaults,47,23,32
is-color-stop,472,15,17
gonzales-pe,935,112,14
,,,
make-iterator,97,86,15
glob-base,33,17,18
uid-safe,40,24,17
fancy-log,124,46,22
object.map,85,48,20
object.omit,5,4,4
find-babel-config,3680,685,283
,,,
,,,
,,,
json-to-pretty-yaml,173,54,24
,,,
,,,
is-dotfile,4,3,4
parse-glob,54,39,49
plugin-error,80,0,0
is-equal-shallow,4,3,3
,,,
detective-typescript,5882,86,12
,,,
json2mq,56,0,0
create-error-class,14,12,1
detective-cjs,244,86,11
,,,
resolve-options,88,40,1
ansi-gray,4,3,3
,,,
mixin-object,13,7,5
,,,
,,,
,,,
to-absolute-glob,34,21,16
glogg,66,13,17
,,,
align-text,175,34,45
gulplog,29,18,15
,,,
center-align,65,36,39
right-align,37,18,7
,,,
,,,
json-pointer,151,6,8
has-glob,14,10,11
,,,
semver-greatest-satisfied-range,1858,0,0
each-props,64,0,0
is2,285,43,35
levenary,51,16,35
,,,
,,,
remove-bom-buffer,100,15,15
dotenv-defaults,100,44,30
rework,1088,73,11
vizion,8676,0,0
array-sort,174,36,54
default-compare,113,7,18
pad-right,28,10,3
passport-local,9,6,3
,,,
,,,
condense-newlines,121,33,21
requireg,2863,59,51
object.reduce,85,48,23
,,,
array-initial,31,15,21
,,,
collection-map,97,98,48
ansi-red,4,3,3
,,,
,,,
is-valid-path,6,5,6
strip-hex-prefix,64,4,3
,,,
ansi-cyan,4,3,3
method-override,525,74,9
,,,
has-gulplog,66,13,13
ethjs-util,114,8,4
unescape,23,15,14
validate.io-integer,5,3,3
,,,
compute-gcd,30,17,11
validate.io-integer-array,11,7,4
compute-lcm,172,78,87
set-getter,22,12,16
passport-oauth2,2574,48,26
,,,
sha1,94,64,23
,,,
,,,
highlight-es,285,4,4
basic-auth-connect,101,10,12
glob2base,46,9,6
,,,
new-date,156,0,0
webrtc-adapter,1200,335,6
xhr-request-promise,137,46,8
contentful-resolve-response,689,89,37
jest-sonar-reporter,417,127,92
parse-author,4,3,4
amd-name-resolver,4250,259,243
,,,
eslint-plugin-filenames,701,290,192
apache-crypt,273,56,36
semver-intersect,1381,530,342
,,,
karma-mocha,935,112,6
is-odd,17,4,3
babel-plugin-ember-modules-api-polyfill,22,1,1
,,,
taketalk,1039,15,4
,,,
geojson-equality,200,0,0
,,,
pkg-config,199,23,33
rss-parser,95302,115,105
xml-but-prettier,28,10,3
,,,
speakeasy,492,81,99
,,,
promise-to-callback,12,8,5
,,,
is-self-closing,33,2,5
alce,0,1799,497
,,,
typeof-article,90,14,8
handlebars-utils,224,206,67
html-tag,105,91,13
mock-require,20,15,13
,,,
json-merge-patch,166,23,3
,,,
can-symlink,1317,126,40
,,,
eslint-plugin-you-dont-need-lodash-underscore,36,10,7
pad-left,28,10,21
passport-http-bearer,9,6,3
react-themeable,30,18,1
ansi-green,4,3,3
,,,
match-url-wildcard,8,5,7
,,,
,,,
clean-deep,1162,589,179
react-linkify,1964,1,1
passport-oauth1,2492,6,3
,,,
json-rpc-error,0,23,19
,,,
rest-facade,5849,222,101
eslint-plugin-sort-destructure-keys,0,18,17
ansi-yellow,4,3,3
ansi-grey,4,3,3
ansi-magenta,4,3,3
ansi-bold,4,3,3
node-sass-tilde-importer,74,21,21
ansi-underline,4,3,3
ansi-bgred,4,3,3
ansi-dim,4,3,3
ansi-bgyellow,4,3,3
ansi-bgwhite,4,3,3
ansi-bgblue,4,3,3
ansi-blue,4,3,3
ansi-black,4,3,3
ansi-reset,4,3,3
ansi-strikethrough,4,3,3
ansi-italic,4,3,3
ansi-bgmagenta,4,3,3
ansi-white,4,3,3
ansi-hidden,4,3,3
ansi-inverse,4,3,3
ansi-bgcyan,4,3,3
ansi-bggreen,4,3,3
ansi-bgblack,4,3,3
,,,
,,,
passport-custom,9,6,3
list-item,170,84,33
contra,17,9,8
mocha-suppress-logs,187,102,16
,,,
koa-mount,0,19,6
node-eval,14,8,3
stringifier,1406,177,16
ember-cli-test-info,53,32,19
nodeify,97,60,6
react-native-dotenv,297,158,32
node-gettext,313,162,61
rdf-canonize,142,0,0
,,,
,,,
,,,
universal-deep-strict-equal,257,17,12
espower-location-detector,5347,10,8
,,,
buffermaker,664,179,87
is-even,11,7,8
deep-for-each,17364,0,0
rename-keys,4,3,3
,,,
,,,
,,,
deep-rename-keys,116,27,24
wrap-fn,153,91,10
generate-schema,963,34,31
ware,56,33,20
stringify-object-es5,13,8,10
,,,
receptacle,111,73,4
,,,
to-source-code,4,3,3
safe-compare,14,5,3
js-yaml-js-types,6635,3389,1129
to-ast,7403,2001,306
is-native,17,18,11
,,,
multimath,291,30,1
,,,
,,,
dnscache,844,396,140
,,,
,,,
koa-route,1251,4,0
git-username,0,79,26
,,,
merge-value,113,63,71
,,,
,,,
receptor,237,30,1
,,,
resolve-bin,74,21,21
,,,
,,,
helper-markdown,34395,10960,233
gonzales-pe-sl,860,106,14
,,,
,,,
,,,
parse-prefer-header,240,253,140
,,,
omit-empty,97,86,6
request-debug,4,3,3
table-parser,1797,81,22
,,,
,,,
