repo,nFilesBefore,nFilesAfter,codeBefore,codeAfter,sizeReduction,preDepth,preWidth
mime-types,1,1,25,17,,10,200
http-errors,,4,,132,,10,201
source-map-support,,,,,,,
compressible,,,,,,10,212
global-modules,,,,,,8,19
thenify,,,,,,6,35
mz,1,1,84,14,,6,36
memory-fs,,,,,,,
pinkie-promise,,,,,,8,27
pretty-error,,,,,,7,47
renderkid,,,,,,8,212
hpack.js,,,,,,,
wbuf,,1,,15,,6,10
expand-tilde,1,1,118,29,,12,31
homedir-polyfill,1,1,44,28,,12,31
basic-auth,,,,,,,
for-own,1,1,27,14,,12,31
is-unc-path,,,,,,12,49
recursive-readdir,,,,,,9,40
path-root,1,1,23,17,,12,31
cookies,,,,,,9,244
bufferutil,,,,,,8,56
utf-8-validate,,,,,,11,185
easy-table,,,,,,7,41
is-dotfile,1,1,23,17,,12,65
glob-parent,1,1,158,17,,11,194
is-glob,1,1,30,19,,12,31
doctrine,,,,,,10,221
define-property,2,2,216,61,,12,50
jsonfile,1,1,27,12,,11,165
optionator,,,,,,7,41
type-check,,,,,,7,137
levn,,,,,,7,42
is-extendable,1,1,43,28,,12,49
esquery,1,1,638,176,,11,431
on-finished,1,1,71,29,,10,199
error-ex,1,1,27,19,,9,146
finalhandler,4,4,365,90,,10,218
content-disposition,,,,,,10,162
terser,,,,,,,
proxy-addr,2,2,194,48,,10,225
prop-types,2,2,117,53,,10,264
has-values,1,1,116,17,,12,49
has-value,2,2,265,67,,12,49
url-parse,1,1,40,19,,8,260
simple-swizzle,1,1,27,18,,9,146
clone-deep,3,3,322,71,,8,19
shallow-clone,1,1,116,17,,11,161
prettier-linter-helpers,1,1,488,86,,8,76
cors,2,2,176,32,,9,213
fd-slicer,,,,,,6,27
object.pick,1,1,23,16,,12,46
language-tags,2,2,42,15,,,
union-value,2,2,239,93,,,
object-copy,3,3,393,88,,,
static-extend,2,2,635,182,,12,28
hash.js,1,1,28,15,,8,68
